,admin_nm,addr_rd,addr_jb,purpose,cctv_cnt,pixel,direction,period,date_install,tel,lat,lon,date_make,offer_admin_cd,offer_admin_nm,x,y,dist
10466,서울특별시 강북구청,서울특별시 강북구 도봉로 28길 58-23,서울특별시 강북구 송중동 3-727,생활방범,1,200,,30,2019-02,02-901-7266,37.62020493,127.03261570000001,2020-05-12,3080000,서울특별시 강북구,127.0324305,37.6203871,26.007399376428438
41525,전라북도 전주시청,전라북도 전주시 덕진구 안골5길 7-4,전라북도 전주시 덕진구 우아동3가 756-5,어린이보호,2,200,반경100m이내,30,2012-12,063-281-2072,35.84291343,127.1552631,2020-08-31,4640000,전라북도 전주시,127.1551179,35.842997,16.051380549491203
13981,충청남도 천안시청,충청남도 천안시 동남구 풍세면 궁리2길 10,충청남도 천안시 동남구 풍세면 풍서리 457-7,생활방범,1,200,통행로방향,30,2020-08,041-521-5207,36.7245158,127.118357,2020-06-30,4490000,충청남도 천안시,127.1183326,36.7245425,3.6801531543118156
10146,부산광역시 금정구청,부산광역시 금정구 개좌로 258-2,부산광역시 금정구 회동동 558,생활방범,1,200,360도 전방면,30,2020-12,051-519-5731,35.2306369,129.126423,2020-08-12,3350000,부산광역시 금정구,129.1264237,35.2306417,0.5375099347319912
31728,서울특별시 강서구,서울특별시 강서구 양천로 329,서울특별시 강서구 가양동 272-11,어린이보호,2,200,,30,,02-2600-1882,37.5701881708,126.8395396603,2020-09-04,3150000,서울특별시 강서구,126.8394166,37.570272,14.301034145673285
48632,경상북도 의성군,경상북도 의성군 의성읍 중앙길 76,경상북도 의성군 의성읍 후죽리 578-1,쓰레기단속,1,200,,30,2017-06,054-830-6541,36.35099747,128.69693700000002,2020-06-30,5150000,경상북도 의성군,128.696933,36.3510016,0.5824291124763008
8008,서울특별시 노원구청,서울특별시 노원구 동일로183길13,서울특별시 노원구 공릉동 569-14,생활방범,2,200,고정,30,2015-12,02-2116-4917,37.6230578,127.07280729999998,2019-04-08,3100000,서울특별시 노원구,127.072932,37.6230347,11.278881560716071
49413,경기도 수원시,경기도 수원시 권선구 덕영대로1323번길 26-14,경기도 수원시 권선구 권선동 1312-3,어린이보호,1,200,360도전방면,30,2010-08,031-228-3304,37.2474613,127.0351394,2020-07-31,3740000,경기도 수원시,127.0362789,37.2469556,115.47826430116623
15680,대구광역시 중구청,대구광역시 중구 공평로 31,대구광역시 중구 삼덕동1가 63-11,생활방범,1,200,삼덕소방서 앞,30,2015-11,053-661-2494,35.866966,128.599742,2018-06-30,3410000,대구광역시 중구,128.5995148,35.8665986,45.69596344949855
32218,서울특별시 강서구,서울특별시 강서구 허준로 186,서울특별시 강서구 가양동 1484,어린이보호,2,200,,30,,02-2600-1882,37.562034999999995,126.8585215576,2020-09-04,3150000,서울특별시 강서구,126.8587584,37.5620871,21.665072847948284
8434,서울특별시 노원구청,서울특별시 노원구 공릉동572-1,서울특별시 노원구 공릉동572-1,생활방범,1,200,고정,30,2015-12,02-2116-4917,37.62188076,127.07140659999999,2019-04-08,3100000,서울특별시 노원구,127.0714802,37.621834,8.309814170339424
9856,서울특별시 노원구청,서울특별시 노원구 광운로21 선곡초병설유치원,서울특별시 노원구 광운로21 (월계동 466) - 선곡초병설,어린이보호,1,200,회전,30,2015-09,02-2116-4105,37.61934623,127.0579142,2019-04-08,3100000,서울특별시 노원구,127.0576709,37.6198454,59.49810890128439
14741,대전광역시 대덕구청,대전광역시 대덕구 신탄진로190번길 61,대전광역시 대덕구 연축동 172-1,생활방범,1,200,,30,2020-08,042-608-6097,36.39596241,127.4259943,2020-10-28,3680000,대전광역시 대덕구,127.4259894,36.3959677,0.7337248718871384
